mu,sigma,centroid_defect,log_mass_ratio
0.14583333333333334,0.007333333333333333,0.0,-10.875639937004168
0.15000000000000002,0.007333333333333333,0.0,-10.875639937004168
0.15416666666666667,0.007333333333333333,0.0,-10.875639937004168
0.15833333333333333,0.007333333333333333,0.0,-10.875639937004168
0.1625,0.007333333333333333,0.0,-10.875639937004168
0.16666666666666669,0.007333333333333333,0.0,-10.875639937004168
0.17083333333333334,0.007333333333333333,0.0,-10.875639937004168
0.175,0.007333333333333333,0.0,-10.875639937004168
0.17916666666666667,0.007333333333333333,0.0,-10.875639937004168
0.18333333333333335,0.007333333333333333,0.0,-10.875639937004168
0.1875,0.007333333333333333,0.0,-10.875639937004168
0.19166666666666665,0.007333333333333333,0.0,-10.875639937004168
0.19583333333333333,0.007333333333333333,0.0,-10.875639937004168
0.2,0.007333333333333333,0.0,-10.875639937004168
0.1,0.008,0.0,-10.875639937004168
0.10416666666666667,0.008,0.0,-10.875639937004168
0.10833333333333334,0.008,0.0,-10.875639937004168
0.1125,0.008,0.0,-10.875639937004168
0.11666666666666667,0.008,0.0,-10.875639937004168
0.12083333333333333,0.008,0.0,-10.875639937004168
0.125,0.008,0.0,-10.875639937004168
0.12916666666666668,0.008,0.0,-10.875639937004168
0.13333333333333333,0.008,0.0,-10.875639937004168
0.1375,0.008,0.0,-10.875639937004168
0.14166666666666666,0.008,0.0,-10.875639937004168
0.14583333333333334,0.008,0.0,-10.875639937004168
0.15000000000000002,0.008,0.0,-10.875639937004168
0.15416666666666667,0.008,0.0,-10.875639937004168
0.15833333333333333,0.008,0.0,-10.875639937004168
0.1625,0.008,0.0,-10.875639937004168
0.16666666666666669,0.008,0.0,-10.875639937004168
0.17083333333333334,0.008,0.0,-10.875639937004168
0.175,0.008,0.0,-10.875639937004168
0.17916666666666667,0.008,0.0,-10.875639937004168
0.18333333333333335,0.008,0.0,-10.875639937004168
0.1875,0.008,0.0,-10.875639937004168
0.19166666666666665,0.008,0.0,-10.875639937004168
0.19583333333333333,0.008,0.0,-10.875639937004168
0.2,0.008,0.0,-10.875639937004168
0.1,0.008666666666666666,0.0,-10.875639937004168
0.10416666666666667,0.008666666666666666,0.0,-10.875639937004168
0.10833333333333334,0.008666666666666666,0.0,-10.875639937004168
0.1125,0.008666666666666666,0.0,-10.875639937004168
0.11666666666666667,0.008666666666666666,0.0,-10.875639937004168
0.12083333333333333,0.008666666666666666,0.0,-10.875639937004168
0.125,0.008666666666666666,0.0,-10.875639937004168
0.12916666666666668,0.008666666666666666,0.0,-10.875639937004168
0.13333333333333333,0.008666666666666666,0.0,-10.875639937004168
0.1375,0.008666666666666666,5.7553173814906256,-10.875639937004168
0.14166666666666666,0.008666666666666666,0.0,-10.875639937004168
0.14583333333333334,0.008666666666666666,0.0,-10.875639937004168
0.15000000000000002,0.008666666666666666,0.0,-10.875639937004168
0.15416666666666667,0.008666666666666666,0.0,-10.875639937004168
0.15833333333333333,0.008666666666666666,0.0,-10.875639937004168
0.1625,0.008666666666666666,0.0,-10.875639937004168
0.16666666666666669,0.008666666666666666,0.0,-10.875639937004168
0.17083333333333334,0.008666666666666666,0.0,-10.875639937004168
0.175,0.008666666666666666,0.0,-10.875639937004168
0.17916666666666667,0.008666666666666666,0.0,-10.875639937004168
0.18333333333333335,0.008666666666666666,0.0,-10.875639937004168
0.1875,0.008666666666666666,0.0,-10.875639937004168
0.19166666666666665,0.008666666666666666,0.0,-10.875639937004168
0.19583333333333333,0.008666666666666666,0.0,-10.875639937004168
0.2,0.008666666666666666,0.0,-10.875639937004168
0.1,0.009333333333333332,0.0,-10.875639937004168
0.10416666666666667,0.009333333333333332,0.5299104369449216,-0.17749356472846614
0.10833333333333334,0.009333333333333332,8.697292416555468,-0.18947340118766245
0.1125,0.009333333333333332,0.0,-10.875639937004168
0.11666666666666667,0.009333333333333332,0.0,-10.875639937004168
0.12083333333333333,0.009333333333333332,0.0,-10.875639937004168
0.125,0.009333333333333332,0.0,-10.875639937004168
0.12916666666666668,0.009333333333333332,0.0,-10.875639937004168
0.13333333333333333,0.009333333333333332,0.0,-10.875639937004168
0.1375,0.009333333333333332,0.0,-10.875639937004168
0.14166666666666666,0.009333333333333332,0.0,-10.875639937004168
0.14583333333333334,0.009333333333333332,0.0,-10.875639937004168
0.15000000000000002,0.009333333333333332,0.0,-10.875639937004168
0.15416666666666667,0.009333333333333332,0.0,-10.875639937004168
0.15833333333333333,0.009333333333333332,0.0,-10.875639937004168
0.1625,0.009333333333333332,0.0,-10.875639937004168
0.16666666666666669,0.009333333333333332,0.0,-10.875639937004168
0.17083333333333334,0.009333333333333332,0.0,-10.875639937004168
0.175,0.009333333333333332,0.0,-10.875639937004168
0.17916666666666667,0.009333333333333332,0.0,-10.875639937004168
0.18333333333333335,0.009333333333333332,0.0,-10.875639937004168
0.1875,0.009333333333333332,0.0,-10.875639937004168
0.19166666666666665,0.009333333333333332,0.0,-10.875639937004168
0.19583333333333333,0.009333333333333332,0.0,-10.875639937004168
0.2,0.009333333333333332,0.0,-10.875639937004168
0.1,0.01,0.0,-10.875639937004168
0.10416666666666667,0.01,0.0,-10.875639937004168
0.10833333333333334,0.01,0.3767566472891198,-0.12157899390247422
0.1125,0.01,0.6863825367683362,-0.1472553529214083
0.11666666666666667,0.01,7.925612342815752,-10.875639937004168
0.12083333333333333,0.01,0.0,-10.875639937004168
0.125,0.01,0.0,-10.875639937004168
0.12916666666666668,0.01,0.0,-10.875639937004168
0.13333333333333333,0.01,0.0,-10.875639937004168
0.1375,0.01,0.0,-10.875639937004168
0.14166666666666666,0.01,0.0,-10.875639937004168
0.14583333333333334,0.01,0.0,-10.875639937004168
0.15000000000000002,0.01,0.0,-10.875639937004168
0.15416666666666667,0.01,0.0,-10.875639937004168
0.15833333333333333,0.01,0.0,-10.875639937004168
0.1625,0.01,0.0,-10.875639937004168
0.16666666666666669,0.01,0.0,-10.875639937004168
0.17083333333333334,0.01,0.0,-10.875639937004168
0.175,0.01,0.0,-10.875639937004168
0.17916666666666667,0.01,0.0,-10.875639937004168
0.18333333333333335,0.01,0.0,-10.875639937004168
0.1875,0.01,0.0,-10.875639937004168
0.19166666666666665,0.01,0.0,-10.875639937004168
0.19583333333333333,0.01,0.0,-10.875639937004168
0.2,0.01,0.0,-10.875639937004168
0.1,0.010666666666666666,0.0,-10.875639937004168
0.10416666666666667,0.010666666666666666,0.0,-10.875639937004168
0.10833333333333334,0.010666666666666666,7.985146847790524,-10.875639937004168
0.1125,0.010666666666666666,0.20458170590570315,-0.10981060290187153
0.11666666666666667,0.010666666666666666,0.6219400573824165,-0.12057209628756503
0.12083333333333333,0.010666666666666666,0.5390981558615767,-0.1117377645189396
0.125,0.010666666666666666,0.0,-10.875639937004168
0.12916666666666668,0.010666666666666666,8.037123925319968,-10.875639937004168
0.13333333333333333,0.010666666666666666,0.0,-10.875639937004168
0.1375,0.010666666666666666,0.0,-10.875639937004168
0.14166666666666666,0.010666666666666666,0.0,-10.875639937004168
0.14583333333333334,0.010666666666666666,0.0,-10.875639937004168
0.15000000000000002,0.010666666666666666,0.0,-10.875639937004168
0.15416666666666667,0.010666666666666666,0.0,-10.875639937004168
0.15833333333333333,0.010666666666666666,0.0,-10.875639937004168
0.1625,0.010666666666666666,0.0,-10.875639937004168
0.16666666666666669,0.010666666666666666,0.0,-10.875639937004168
0.17083333333333334,0.010666666666666666,0.0,-10.875639937004168
0.175,0.010666666666666666,0.0,-10.875639937004168
0.17916666666666667,0.010666666666666666,0.0,-10.875639937004168
0.18333333333333335,0.010666666666666666,0.0,-10.875639937004168
0.1875,0.010666666666666666,0.0,-10.875639937004168
0.19166666666666665,0.010666666666666666,0.0,-10.875639937004168
0.19583333333333333,0.010666666666666666,0.0,-10.875639937004168
0.2,0.010666666666666666,0.0,-10.875639937004168
0.1,0.011333333333333334,0.0,-10.875639937004168
0.10416666666666667,0.011333333333333334,0.0,-10.875639937004168
0.10833333333333334,0.011333333333333334,0.0,-10.875639937004168
0.1125,0.011333333333333334,8.804331576118479,-10.875639937004168
0.11666666666666667,0.011333333333333334,0.13312024307869602,-0.08780419295318781
0.12083333333333333,0.011333333333333334,0.7721211118113739,-0.09595033462829801
