separation,tau,defect
52.0,56,0.9666304550887318
52.0,58,0.9401750346129716
52.0,60,0.9502805306069516
52.0,62,0.9462767239002742
52.0,64,0.9417675741433015
52.0,66,0.9353672667906727
52.0,68,0.9313712491488505
52.0,70,0.928163366712466
52.0,72,0.9337554097628249
52.0,74,0.9302844824050991
52.0,76,0.9307965234360497
52.0,78,0.9312845258818504
52.0,80,0.9397471936030779
52.0,82,0.9413093223282181
52.0,84,0.939825522361939
52.0,86,0.9442408952846413
52.0,88,0.9428963085784408
52.0,90,0.9356658403724422
52.0,92,0.9266745684879324
52.0,94,0.9313107515498451
52.0,96,0.9311895519064509
52.0,98,0.9381761004969204
52.0,100,0.9345158177870406
52.0,102,0.9338404648577159
52.0,104,0.9318886144521662
52.0,106,0.9367140556140323
52.0,108,0.938774234592331
52.0,110,0.93782489041878
52.0,112,0.939083048895149
52.0,114,0.9376380064418474
52.0,116,0.9334424513139924
52.0,118,0.9313904337660723
52.0,120,0.9324464023853123
55.0,0,0.0
55.0,2,2.464878057543077e-16
55.0,4,4.619971691421788e-16
55.0,6,6.07837519960402e-16
55.0,8,7.411496331583467e-16
55.0,10,7.656921590335179e-16
55.0,12,9.179944125468745e-16
55.0,14,9.5047716738166e-16
55.0,16,1.1125906565331144e-15
55.0,18,1.3517907757804888e-15
55.0,20,1.605502746210053e-15
55.0,22,1.954039096392319e-15
55.0,24,4.927551717447684e-06
55.0,26,0.0006237702328017343
55.0,28,0.033870994922819836
55.0,30,0.14705765706767443
55.0,32,0.24609330175098232
55.0,34,0.4463090348839168
55.0,36,0.7565991003942709
55.0,38,1.0438867518058095
55.0,40,1.2709630405372705
55.0,42,1.4284133651203808
55.0,44,1.4987386552303812
55.0,46,1.43197126768231
55.0,48,1.2851747541601801
55.0,50,1.2269152097843623
55.0,52,1.2780383249206
55.0,54,1.3160865751147355
55.0,56,1.4007051973720956
55.0,58,1.4557047123781746
55.0,60,1.3988186327658627
55.0,62,1.3970325674825503
55.0,64,1.4611832419752764
55.0,66,1.5915749791461369
55.0,68,1.7465967306723569
55.0,70,1.8218738801978012
55.0,72,1.8746685858404957
55.0,74,1.8905794915349234
55.0,76,1.8587766442726616
55.0,78,1.7537574024412648
55.0,80,1.5521068548615424
55.0,82,1.2618667919211595
55.0,84,1.0720844961825573
55.0,86,0.9876310833776811
55.0,88,0.9531977001320324
55.0,90,0.9357364122435997
55.0,92,0.9266745684879332
55.0,94,0.9313107515498443
55.0,96,0.9311895519064503
55.0,98,0.93817610049692
55.0,100,0.9345158177870408
55.0,102,0.933840464857715
55.0,104,0.9318886144521651
55.0,106,0.9367140556140323
55.0,108,0.9387742345923337
55.0,110,0.93782489041878
55.0,112,0.9390830488951489
55.0,114,0.9376380064418468
55.0,116,0.9334424513139928
55.0,118,0.9313904337660718
55.0,120,0.9324464023853137
58.0,0,0.0
58.0,2,2.2867859403688934e-16
